Lattitude,Longitude,Total Doses,Sessions,Sites ,Total Doses/500000,Sessions/786,Sites/54 ,(f+g+h)/3,Out of 100
24.1839,88.27171,1853834,37603,106,3.707668,0.134860051,1.962962963,5.805491014,58.05491014
24.18622,86.30875,520217,19996,28,1.040434,0.03562341,0.518518519,1.594575928,15.94575928
24.19973,82.67535,781575,30903,32,1.56315,0.040712468,0.592592593,2.196455061,21.96455061
24.20645,84.87085,1076366,14135,38,2.152732,0.048346056,0.703703704,2.90478176,29.0478176
24.22388,92.67869,118223,5800,5,0.236446,0.006361323,0.092592593,0.335399916,3.353999157
24.26227,93.18873,22926,808,4,0.045852,0.005089059,0.074074074,0.125015133,1.250151326
24.26778,87.24855,1334730,10112,30,2.66946,0.038167939,0.555555556,3.263183494,32.63183494
24.32987,94.00379,161419,7200,9,0.322838,0.011450382,0.166666667,0.500955048,5.009550483
24.33353,93.66999,37209,350,4,0.074418,0.005089059,0.074074074,0.153581133,1.535811326
24.3855,94.1472,26673,474,4,0.053346,0.005089059,0.074074074,0.132509133,1.325091326
24.4038,81.87954,1349716,68352,202,2.699432,0.256997455,3.740740741,6.697170196,66.97170196
24.47639,74.86241,995415,28540,113,1.99083,0.143765903,2.092592593,4.227188496,42.27188496
24.4982,93.98126,38147,4800,3,0.076294,0.003816794,0.055555556,0.135666349,1.356663494
24.53256,81.29234,1322005,12002,54,2.64401,0.06870229,1,3.71271229,37.1271229
24.57578,77.73123,566447,16251,29,1.132894,0.036895674,0.537037037,1.706826711,17.06826711
24.57726,80.82719,2058854,74000,70,4.117708,0.089058524,1.296296296,5.50306282,55.0306282
24.58584,73.71346,1137241,3440,9,2.274482,0.011450382,0.166666667,2.452599048,24.52599048
24.59633,76.16499,1211019,7126,25,2.422038,0.031806616,0.462962963,2.916807579,29.16807579
24.63881,93.99639,33136,1020,4,0.066272,0.005089059,0.074074074,0.145435133,1.454351326
24.63925,87.84239,204399,7707,32,0.408798,0.040712468,0.592592593,1.042103061,10.42103061
24.64691,77.3113,589836,25490,112,1.179672,0.142493639,2.074074074,3.396239713,33.96239713
24.68394,92.56097,864589,12441,55,1.729178,0.069974555,1.018518519,2.817671073,28.17671073
24.69007,78.41915,1771540,118103,116,3.54308,0.147582697,2.148148148,5.838810845,58.38810845
24.72094,80.18772,749370,27850,50,1.49874,0.063613232,0.925925926,2.488279157,24.88279157
24.74327,78.83061,881678,84400,184,1.763356,0.234096692,3.407407407,5.4048601,54.048601
24.79686,85.00385,2856237,120230,152,5.712474,0.193384224,2.814814815,8.720673039,87.20673039
24.80427,93.12148,432676,8511,31,0.865352,0.039440204,0.574074074,1.478866278,14.78866278
24.827,87.2125,1131997,39551,65,2.263994,0.082697201,1.203703704,3.550394905,35.50394905
24.83648,81.36448,984562,25989,75,1.969124,0.095419847,1.388888889,3.453432736,34.53432736
24.85846,94.51549,118698,16080,9,0.237396,0.011450382,0.166666667,0.415513048,4.155130483
24.86919,92.35543,292942,26249,70,0.585884,0.089058524,1.296296296,1.97123882,19.7123882
24.8867,85.54364,1611839,35100,52,3.223678,0.066157761,0.962962963,4.252798724,42.52798724
24.88838,72.84794,2562909,29280,127,5.125818,0.161577608,2.351851852,7.63924746,76.3924746
24.9177,79.58871,678282,14990,118,1.356564,0.150127226,2.185185185,3.691876412,36.91876412
24.92606,86.22531,1287676,9200,12,2.575352,0.015267176,0.222222222,2.812841398,28.12841398
25.07145,73.8798,785925,180000,45,1.57185,0.057251908,0.833333333,2.462435242,24.62435242
25.1,76.51667,1253643,75210,74,2.507286,0.094147583,1.37037037,3.971803953,39.71803953
25.13994,85.84096,2099708,88550,37,4.199416,0.047073791,0.685185185,4.931674977,49.31674977
25.1449,82.56534,2279956,91450,89,4.559912,0.113231552,1.648148148,6.3212917,63.212917
25.18254,75.83907,1022413,45000,57,2.044826,0.072519084,1.055555556,3.17290064,31.7290064
25.24425,87.63481,1824573,27620,78,3.649146,0.099236641,1.444444444,5.192827086,51.92827086
25.24446,86.97183,1520263,40240,57,3.040526,0.072519084,1.055555556,4.16860064,41.6860064
25.25803,83.26825,1932718,151984,102,3.865436,0.129770992,1.888888889,5.884095881,58.84095881
25.2905,79.87533,1320979,17668,29,2.641958,0.036895674,0.537037037,3.215890711,32.15890711
25.31668,83.01041,1570061,295471,199,3.140122,0.253180662,3.685185185,7.078487847,70.78487847
25.34707,74.64081,1670888,45985,281,3.341776,0.357506361,5.203703704,8.902986065,89.02986065
25.39526,82.5703,1307016,70099,131,2.614032,0.166666667,2.425925926,5.206624593,52.06624593
25.41853,86.13389,1028174,14320,37,2.056348,0.047073791,0.685185185,2.788606977,27.88606977
25.42378,77.66223,486034,12650,68,0.972068,0.086513995,1.259259259,2.317841254,23.17841254
25.45887,78.57994,2312924,154962,97,4.625848,0.123409669,1.796296296,6.545553966,65.45553966
25.5022,86.46708,1379503,73300,120,2.759006,0.152671756,2.222222222,5.133899978,51.33899978
25.53852,87.57044,802738,100000,40,1.605476,0.050890585,0.740740741,2.397107326,23.97107326
25.57548,83.98043,1363719,45050,58,2.727438,0.073791349,1.074074074,3.875303423,38.75303423
25.58333,83.58526,2761004,57451,71,5.522008,0.090330789,1.314814815,6.927153604,69.27153604
25.59408,85.13563,1032625,146710,146,2.06525,0.185750636,2.703703704,4.95470434,49.5470434
25.66472,76.69616,787446,37800,78,1.574892,0.099236641,1.444444444,3.118573086,31.18573086
25.66667,94.5,29363,600,5,0.058726,0.006361323,0.092592593,0.157679916,1.576799157
25.67312,78.45908,1001879,42400,193,2.003758,0.245547074,3.574074074,5.823379148,58.23379148
25.67467,94.11099,18262,800,4,0.036524,0.005089059,0.074074074,0.115687133,1.156871326
25.74572,71.39211,912450,33975,89,1.8249,0.113231552,1.648148148,3.5862797,35.862797
25.75356,82.68689,893935,22900,81,1.78787,0.103053435,1.5,3.390923435,33.90923435
25.86222,85.77953,932819,37600,127,1.865638,0.161577608,2.351851852,4.37906746,43.7906746
